code,scode,fileName,fileToMerge
001,000,2024-04-09_10-15-35_2024-04-09_10-15-35.gpx,
002,003,2024-04-13_13-47-56_2024-04-13_13-47-56.gpx,2024-04-13_16-02-50_2024-04-13_16-02-50.gpx
004,000,2024-04-13_18-13-36_2024-04-13_18-13-36.gpx,
005,000,2024-04-13_18-34-41_2024-04-13_18-34-41.gpx,
006,000,2024-04-14_06-55-44_2024-04-14_06-55-44.gpx,
007,000,2024-04-14_07-57-33_2024-04-14_07-57-33.gpx,
008,000,2024-04-14_08-26-29_2024-04-14_08-26-29.gpx,
009,000,2024-04-14_14-36-37_2024-04-14_14-36-37.gpx,
010,000,2024-04-16_07-48-06_2024-04-16_07-48-06.gpx,
011,000,2024-04-16_08-51-15_2024-04-16_08-51-15.gpx,
012,000,2024-04-16_09-55-43_2024-04-16_09-55-43.gpx,
013,000,2024-04-16_10-45-57_2024-04-16_10-45-57.gpx,
014,000,2024-04-16_14-50-14_2024-04-16_14-50-14.gpx,
015,000,2024-04-16_15-25-33_2024-04-16_15-25-33.gpx,
016,000,2024-04-16_15-53-42_2024-04-16_15-53-42.gpx,
017,000,2024-04-16_16-05-34_2024-04-16_16-05-34.gpx,
018,000,2024-04-17_17-28-02_2024-04-17_17-28-02.gpx,
019,000,2024-04-17_19-07-00_2024-04-17_19-07-00.gpx,
020,000,2024-04-18_08-02-35_Ciclofaixa_Paris_2024-04-18_08-02-35.gpx,
021,000,2024-04-18_08-42-37_2024-04-18_08-42-37.gpx,
022,000,2024-04-18_09-26-02_ciclofaixa_pinheiros_ATÉ_chegar_no_canal_2024-04-18_09-26-02.gpx,
023,000,2024-04-18_09-59-46_2024-04-18_09-59-46.gpx,
024,022,2024-04-18_09-59-59_ciclorrota_rua_eng._josé_brandão_cavalcante_2024-04-18_09-59-59.gpx,2024-04-18_09-26-02_ciclofaixa_pinheiros_ATÉ_chegar_no_canal_2024-04-18_09-26-02.gpx
025,000,2024-04-18_10-07-13_ciclofaixa_eng._alves_de_souza_2024-04-18_10-07-13.gpx,
026,208,2024-04-18_10-34-23_ciclofaixa_lagoa_do_araçá_2024-04-18_10-34-23.gpx,2024-05-11_17-31-04_LAGOA_DO_ARAÇÁ_2024-05-11_17-31-04.gpx
027,000,2024-04-18_10-35-48_2024-04-18_10-35-48.gpx,
028,000,2024-04-18_11-16-50_ciclorrota_av._sen._robert_kennedy_2024-04-18_11-16-50.gpx,
029,000,2024-04-18_11-22-03_2024-04-18_11-22-03.gpx,
030,000,"2024-04-18_11-31-46_ciclofaixa_ruas_allan_kardec,_jor._cleófas_de_oliveira,_jalisco,_av._sul_cid_sampaio_e_rua_guadalajara_2024-04-18_11-31-46.gpx",
031,000,2024-04-18_11-48-01_2024-04-18_11-48-01.gpx,
032,000,2024-04-18_12-12-42_passarela_estação_shopping_2024-04-18_12-12-42.gpx,
033,000,"2024-04-18_12-17-16_ciclorrota_av_sul_cid_sampaio,_rua_sd_sinésio_de_aragão_2024-04-18_12-17-16.gpx",
034,000,2024-04-18_12-18-07_2024-04-18_12-18-07.gpx,
035,000,2024-04-18_12-33-34_ciclofaixa_av_sul_cid_sampaio_2024-04-18_12-33-34.gpx,
036,000,2024-04-18_12-35-31_2024-04-18_12-35-31.gpx,
037,000,2024-04-18_12-51-24_ciclofaixa_antonio_falcao_2024-04-18_12-51-24.gpx,
038,000,2024-04-18_13-01-23_2024-04-18_13-01-23.gpx,
039,000,2024-04-18_13-17-47_2024-04-18_13-17-47.gpx,
040,000,2024-04-18_13-49-54_ciclorrota_antonio_falcao_2024-04-18_13-49-54.gpx,
041,000,2024-04-18_13-50-50_2024-04-18_13-50-50.gpx,
042,000,2024-04-18_14-05-44_2024-04-18_14-05-44.gpx,
043,000,2024-04-18_14-15-17_ciclofaixa_paralela_antonio_falcao_2024-04-18_14-15-17.gpx,
045,000,2024-04-18_14-35-50_ciclofaixa_rua_prof_arnaldo_carneiro_leão_2024-04-18_14-35-50.gpx,
046,044,2024-04-18_14-36-34_2024-04-18_14-36-34.gpx,2024-04-18_14-28-18_2024-04-18_14-28-18.gpx
047,000,2024-04-18_14-45-12_via_mangue_2024-04-18_14-45-12.gpx,
050,000,2024-04-18_17-53-33_2024-04-18_17-53-33.gpx,
051,000,2024-04-20_15-19-26_2024-04-20_15-19-26.gpx,
052,000,2024-04-20_16-08-37_2024-04-20_16-08-37.gpx,
053,000,2024-04-21_14-42-29_2024-04-21_14-42-29.gpx,
054,000,2024-04-21_14-58-15_2024-04-21_14-58-15.gpx,
055,000,2024-04-21_15-35-25_2024-04-21_15-35-25.gpx,
056,000,2024-04-21_16-11-50_2024-04-21_16-11-50.gpx,
057,000,2024-04-21_16-49-06_2024-04-21_16-49-06.gpx,
058,000,2024-04-21_17-13-33_2024-04-21_17-13-33.gpx,
059,000,2024-04-21_17-29-53_2024-04-21_17-29-53.gpx,
060,000,2024-04-21_17-59-31_2024-04-21_17-59-31.gpx,
061,000,2024-04-21_18-13-45_2024-04-21_18-13-45.gpx,
062,000,2024-04-21_18-48-52_2024-04-21_18-48-52.gpx,
063,063,2024-04-22_16-27-27_2024-04-22_16-27-27.gpx,2024-04-22_16-27-27_2024-04-22_16-27-27.gpx
065,000,2024-04-22_17-03-23_2024-04-22_17-03-23.gpx,
066,067,2024-04-24_08-38-22_Ciclorota_Rota_Setúbal_1_etapa_2024-04-24_08-38-22.gpx,2024-04-24_08-38-40_ciclorrota_setubal_1_etapa_2024-04-24_08-38-40.gpx
068,000,2024-04-24_09-55-48_Ciclofaixa_rota_Setúbal_1_etapa_2024-04-24_09-55-48.gpx,
070,071,"2024-04-24_10-22-04_ciclofaixa_rua_cosmorama,_rua_mal_juarez_tavora_e_rua_armindo_moura_2024-04-24_10-22-04.gpx",2024-04-24_10-22-15_Ciclofaixa_rota_Setúbal_1_etapa_ciclofaixa_2024-04-24_10-22-15.gpx
072,073,2024-04-24_11-34-46_Ciclofaixa_Visc._Jequitinhonha_2_etapa_2024-04-24_11-34-46.gpx,2024-04-24_11-35-59_ciclofaixa_av_visc_jequitinhonha_2_etapa_2024-04-24_11-35-59.gpx
074,075,2024-04-24_12-02-24_Ciclofaixa_Rota_Setúbal_2_etapa_Rua_João_Cardoso_Aires_2024-04-24_12-02-24.gpx,2024-04-24_12-02-32_ciclofaixa_rua_joao_cardoso_ayres_(rota_setubal_2_etapa)_2024-04-24_12-02-32.gpx
077,078,2024-04-24_12-50-42_Ciclofaixa_Visc_de_jequitinhonha_2_etapa_2024-04-24_12-50-42.gpx,2024-04-24_12-50-53_ciclofaixa_visc_jequitinhonha_2_etapa_2024-04-24_12-50-53.gpx
079,080,2024-04-24_13-07-25_Ciclorota_Rua_visc_jequitinhonha_2_etapa_2024-04-24_13-07-25.gpx,2024-04-24_13-08-09_ciclorrota_jequitinhonha_2_etapa_2024-04-24_13-08-09.gpx
081,082,2024-04-24_13-29-02_ciclorrota_visc_jequitinhonha_etapa_1_2024-04-24_13-29-02.gpx,2024-04-24_13-29-06_ciclorota_visconde_de_jequitinhonha_1_etapa_2024-04-24_13-29-06.gpx
083,084,2024-04-24_13-33-35_ciclofaixa_visc_jequitinhonha_etapa_1_2024-04-24_13-33-35.gpx,2024-04-24_13-33-40_Ciclofaixa_visc_jequitinhonha_1_etapa_2024-04-24_13-33-40.gpx
084,000,2024-04-24_13-33-40_Ciclofaixa_visc_jequitinhonha_1_etapa_2024-04-24_13-33-40.gpx,
085,086,2024-04-24_14-04-32_Ciclofaixa_Rota_prof._João_Medeiros_2024-04-24_14-04-32.gpx,2024-04-24_14-04-33_ciclofaixa_professor_joao_medeiros_2024-04-24_14-04-33.gpx
087,000,2024-04-24_14-17-41_ciclorrota_prof_joao_medeiros_2024-04-24_14-17-41.gpx,
