name,time,fileCode,fileName,description,keywords
2024-04-09_10-15-35,2024/04/09 13:15:41+00,"001",2024-04-09_10-15-35_2024-04-09_10-15-35.gpx,cf003,
2024-04-13_13-47-56,2024/04/13 16:47:59+00,"002",2024-04-13_13-47-56_2024-04-13_13-47-56.gpx,CR005,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-13_16-02-50,2024/04/13 19:02:53+00,"003",2024-04-13_16-02-50_2024-04-13_16-02-50.gpx,CF005,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-13_18-13-36,2024/04/13 21:13:38+00,"004",2024-04-13_18-13-36_2024-04-13_18-13-36.gpx,CF005,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-13_18-34-41,2024/04/13 21:34:44+00,"005",2024-04-13_18-34-41_2024-04-13_18-34-41.gpx,CF005,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-14_06-55-44,2024/04/14 09:55:48+00,"006",2024-04-14_06-55-44_2024-04-14_06-55-44.gpx,CR011,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-14_07-57-33,2024/04/14 10:57:34+00,"007",2024-04-14_07-57-33_2024-04-14_07-57-33.gpx,CF011,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-14_08-26-29,2024/04/14 11:26:33+00,"008",2024-04-14_08-26-29_2024-04-14_08-26-29.gpx,CF011,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-14_14-36-37,2024/04/14 17:36:40+00,"009",2024-04-14_14-36-37_2024-04-14_14-36-37.gpx,CF011,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-16_07-48-06,2024/04/16 10:48:08+00,"010",2024-04-16_07-48-06_2024-04-16_07-48-06.gpx,CR081,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-16_08-51-15,2024/04/16 11:51:20+00,"011",2024-04-16_08-51-15_2024-04-16_08-51-15.gpx,,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-16_09-55-43,2024/04/16 12:55:47+00,"012",2024-04-16_09-55-43_2024-04-16_09-55-43.gpx,CR017,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-16_10-45-57,2024/04/16 13:45:59+00,"013",2024-04-16_10-45-57_2024-04-16_10-45-57.gpx,CR018,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-16_14-50-14,2024/04/16 17:50:21+00,"014",2024-04-16_14-50-14_2024-04-16_14-50-14.gpx,CF018,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-16_15-25-33,2024/04/16 18:25:35+00,"015",2024-04-16_15-25-33_2024-04-16_15-25-33.gpx,CF018,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-16_15-53-42,2024/04/16 18:53:46+00,"016",2024-04-16_15-53-42_2024-04-16_15-53-42.gpx,CF018,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-16_16-05-34,2024/04/16 19:05:36+00,"017",2024-04-16_16-05-34_2024-04-16_16-05-34.gpx,CF018,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-17_17-28-02,2024/04/17 20:28:05+00,"018",2024-04-17_17-28-02_2024-04-17_17-28-02.gpx,,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-17_19-07-00,2024/04/17 22:07:02+00,"019",2024-04-17_19-07-00_2024-04-17_19-07-00.gpx,,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_08-02-35 Ciclofaixa Paris,2024/04/18 11:02:49+00,"020",2024-04-18_08-02-35_Ciclofaixa_Paris_2024-04-18_08-02-35.gpx,CF048,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_08-42-37,2024/04/18 11:42:40+00,"021",2024-04-18_08-42-37_2024-04-18_08-42-37.gpx,CF065,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_09-26-02 ciclofaixa pinheiros ATÉ chegar no canal,2024/04/18 12:26:05+00,"022",2024-04-18_09-26-02_ciclofaixa_pinheiros_ATÉ_chegar_no_canal_2024-04-18_09-26-02.gpx,CF040,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_09-59-46,2024/04/18 12:59:49+00,"023",2024-04-18_09-59-46_2024-04-18_09-59-46.gpx,CF065,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_09-59-59 ciclorrota rua eng. josé brandão cavalcante,2024/04/18 13:00:03+00,"024",2024-04-18_09-59-59_ciclorrota_rua_eng._josé_brandão_cavalcante_2024-04-18_09-59-59.gpx,CF040,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_10-07-13 ciclofaixa eng. alves de souza,2024/04/18 13:07:15+00,"025",2024-04-18_10-07-13_ciclofaixa_eng._alves_de_souza_2024-04-18_10-07-13.gpx,CF040,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
