id,name,type,code,scode,Filename,codeNumber
way/48001666,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/171854564,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/171854986,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/171854987,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/400041239,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/400041240,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670345937,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670345939,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670345942,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670345944,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670345946,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670345947,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642828,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642830,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642832,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642834,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642836,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642838,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642840,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642842,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642844,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642846,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642848,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/670642849,Avenida D,Ciclofaixa,376,000,abreu.csv,376
way/1183566163,Avenida D,Calçada compartilhada,376,000,abreu.csv,376
way/1265657171,,Ciclovia,374,373,abreu.csv,374
way/94749558,Rua das Acácias,Ciclofaixa,181,000,cabo.csv,181
way/94749583,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/104073044,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/179536340,Avenida Historiador Pereira da Costa,Ciclofaixa,188,000,cabo.csv,188
way/179536780,Rua Tenente Manuel Barbosa da Silva,Ciclofaixa,189,000,cabo.csv,189
way/183655524,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/183655718,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/183656231,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/183656481,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/222807348,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/240273094,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/312277585,Ciclovia do Paiva,Ciclovia,178,000,cabo.csv,178
way/312277587,Ponte do Paiva,Ciclovia,177,000,cabo.csv,177
way/336009721,,Ciclofaixa,189,000,cabo.csv,189
way/355556206,Avenida Presidente Getulio Vargas,Ciclofaixa,189,000,cabo.csv,189
way/355556210,Avenida Presidente Getulio Vargas,Ciclofaixa,189,000,cabo.csv,189
way/440484169,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/440484170,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/627918647,Calçadão da Vila Social,Calçada compartilhada,185,186,cabo.csv,185
way/627918648,Calçadão da Vila Roca,Calçada compartilhada,184,000,cabo.csv,184
way/654819531,,Calçada compartilhada,184,000,cabo.csv,184
way/654819532,,Calçada compartilhada,184,000,cabo.csv,184
way/654819533,,Calçada compartilhada,184,000,cabo.csv,184
way/654819535,,Calçada compartilhada,184,000,cabo.csv,184
way/665465661,Ponte do Paiva,Ciclovia,177,000,cabo.csv,177
way/683175221,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/696784721,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/753056368,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/753056877,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/753056878,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/753056879,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/753056880,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/778535338,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/778535340,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/778535341,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/788567371,Ciclovia Praça de Gaibu,Ciclovia,183,000,cabo.csv,183
way/788567372,Ciclovia Praça de Gaibu,Ciclovia,183,000,cabo.csv,183
way/788567375,Ciclovia Praça de Gaibu,Ciclovia,183,000,cabo.csv,183
way/788567378,Ciclovia Praça de Gaibu,Ciclovia,183,000,cabo.csv,183
way/790740468,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/790740469,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/791084170,PE-060,Ciclovia,190,191,cabo.csv,190
way/791084171,PE-060,Ciclovia,190,191,cabo.csv,190
way/791084172,PE-060,Ciclovia,190,191,cabo.csv,190
way/791084173,PE-060,Ciclovia,190,191,cabo.csv,190
way/791084177,PE-060,Ciclovia,190,191,cabo.csv,190
way/867487196,,Calçada compartilhada,184,000,cabo.csv,184
way/902148281,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/902148282,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/902148283,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/902148284,Avenida Vereador Lúcio Fernando Monteiro Pereira,Ciclofaixa,181,000,cabo.csv,181
way/907811162,Avenida Presidente Getulio Vargas,Ciclofaixa,189,000,cabo.csv,189
way/994960939,Ciclovia do Paiva,Ciclovia,178,000,cabo.csv,178
way/1046350036,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/1046350037,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/1046350038,PE-024,Ciclofaixa,180,000,cabo.csv,180
way/1240293756,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/1240293757,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/1240293758,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/1240293759,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/1240293760,Avenida Isaac Gomes da Costa,Ciclofaixa,180,000,cabo.csv,180
way/1298178289,,Ciclofaixa,181,000,cabo.csv,181
way/1298188775,,Ciclovia,184,000,cabo.csv,184
way/1298188776,Calçadão do Estudante,Calçada compartilhada,187,000,cabo.csv,187
way/1298192373,,Calçada compartilhada,183,000,cabo.csv,183
way/573609258,Ramal Arena Pernambuco,Ciclofaixa,145,146,camaragibe.csv,145
way/637642165,Rua Padre Ozeas Cavalcante,Ciclofaixa,142,143,camaragibe.csv,142
way/637642167,Rua Manoel Honorato da Costa,Ciclofaixa,142,143,camaragibe.csv,142
way/757376864,Rua Manoel Honorato da Costa,Ciclofaixa,142,143,camaragibe.csv,142
way/968918277,Rua Manoel Honorato da Costa,Ciclofaixa,142,143,camaragibe.csv,142
way/968918278,Rua Manoel Honorato da Costa,Ciclofaixa,142,143,camaragibe.csv,142
way/990987044,Rua Manoel Honorato da Costa,Ciclofaixa,142,143,camaragibe.csv,142
way/23393273,Avenida Manoel Gomes da Silva,Ciclofaixa,220,221,ipojuca.csv,220
way/189139471,Rua Mario Julio do Rego,Ciclofaixa,220,221,ipojuca.csv,220
way/189139479,Rua Silvino Alves da Silva,Ciclofaixa,220,221,ipojuca.csv,220
way/189139487,,Ciclofaixa,220,221,ipojuca.csv,220
way/189139488,Rua Cristovão de Souza Leão,Ciclofaixa,220,221,ipojuca.csv,220
way/337236701,Ciclovia de Porto de Galinhas,Ciclovia,223,224,ipojuca.csv,223
way/337243583,Ciclovia de Porto de Galinhas,Ciclovia,223,224,ipojuca.csv,223
way/337243584,Ciclovia de Porto de Galinhas,Ciclovia,223,224,ipojuca.csv,223
way/364084408,Travessa Cristóvão de Souza Leão,Ciclofaixa,220,221,ipojuca.csv,220
way/488151048,Avenida Califórnia,Ciclofaixa,236,237,ipojuca.csv,236
way/547542955,Rua Cristóvão Souza Leão,Ciclofaixa,220,221,ipojuca.csv,220
way/548908039,Avenida Califórnia,Ciclofaixa,236,237,ipojuca.csv,236
way/548908047,Avenida Califórnia,Ciclofaixa,236,237,ipojuca.csv,236
way/578918239,Ciclovia de Maracaípe,Ciclovia,230,231,ipojuca.csv,230
way/578918242,Ciclovia de Maracaípe,Ciclovia,230,231,ipojuca.csv,230
way/578927420,Ciclovia de Maracaípe,Ciclovia,228,229,ipojuca.csv,228
way/578927422,Ciclovia de Maracaípe,Ciclovia,228,229,ipojuca.csv,228
way/579591599,Ciclovia da PE-09,Ciclovia,232,233,ipojuca.csv,232
way/579591600,Ciclovia da PE-09,Ciclovia,232,233,ipojuca.csv,232
way/579591601,Ciclovia da PE-09,Ciclovia,232,233,ipojuca.csv,232
way/579591612,Ciclovia da PE-09,Ciclovia,232,233,ipojuca.csv,232
way/1302726895,Rua do Colégio,Ciclofaixa,220,221,ipojuca.csv,220
way/138285434,Avenida Visconde de Jequitinhonha,Ciclorrota,343,000,jaboatão.csv,343
way/151430876,Rua do Canal,Ciclofaixa,334,000,jaboatão.csv,334
way/223042934,Avenida Ayrton Senna da Silva,Ciclorrota,332,000,jaboatão.csv,332
