id,name,type,code,scode,seg_length,full_id,osm_id,osm_type,highway
way/48001666,Avenida D,Ciclofaixa,376,0,51,w48001685,48001685,way,residential
way/48001666,Avenida D,Ciclofaixa,376,0,51,w48001705,48001705,way,residential
way/48001666,Avenida D,Ciclofaixa,376,0,51,w670345948,670345948,way,residential
way/48001666,Avenida D,Ciclofaixa,376,0,51,w48001689,48001689,way,secondary
way/48001666,Avenida D,Ciclofaixa,376,0,51,w678542848,678542848,way,secondary
way/48001666,Avenida D,Ciclofaixa,376,0,51,w670345947,670345947,way,tertiary
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830006,222830006,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830014,222830014,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830017,222830017,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830018,222830018,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830035,222830035,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830037,222830037,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830046,222830046,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830049,222830049,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830055,222830055,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830059,222830059,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830071,222830071,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830073,222830073,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830095,222830095,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830097,222830097,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w222830098,222830098,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w245929957,245929957,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w245930086,245930086,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w245930096,245930096,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w713475648,713475648,way,residential
way/171854564,Avenida D,Ciclofaixa,376,0,728,w171854986,171854986,way,tertiary
way/171854986,Avenida D,Ciclofaixa,376,0,663,w222830007,222830007,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w222830021,222830021,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w222830026,222830026,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w222830030,222830030,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w222830061,222830061,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w222830078,222830078,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w222830086,222830086,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w240062580,240062580,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w245930479,245930479,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w406268727,406268727,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w406268738,406268738,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w670642850,670642850,way,residential
way/171854986,Avenida D,Ciclofaixa,376,0,663,w171854564,171854564,way,tertiary
way/171854986,Avenida D,Ciclofaixa,376,0,663,w670642849,670642849,way,tertiary
